Дата,Выявлено всего,Заражений за день,Выздоровлений,Выздоровлений за день,Смертей за день,Смертей,"Летальность, %",% Выздоровлений,% Смертей,% прирост,Выздоровевших и умерших,Характерстика ДБ
2021-05-27,5035207,9039,4651849,9759,402,120002,2.38,0.002102285823842198,0.0033612040133779164,0.0017983879567893266,4771851,30.0
2021-05-28,5044459,9252,4661234,9385,404,120406,2.39,0.002017477351478947,0.003366610556490679,0.0018374616972052227,4781640,30.0
2021-05-29,5053748,9289,4670484,9250,401,120807,2.39,0.0019844530439794283,0.003330398817334768,0.001841426404694646,4791291,30.0
2021-05-30,5063442,9694,4677870,7386,355,121162,2.39,0.001581420683595125,0.0029385714403966645,0.0019181803287382504,4799032,30.0
2021-05-31,5071917,8475,4684585,6715,339,121501,2.4,0.0014354823883520054,0.002797906934517425,0.001673762630242326,4806086,30.0
2021-06-01,5081417,9500,4693579,8994,372,121873,2.4,0.0019199139304761914,0.003061703195858412,0.001873059042567071,4815452,30.0
2021-06-02,5090249,8832,4702599,9020,394,122267,2.4,0.0019217744071209355,0.003232873565104599,0.0017380978573495742,4824866,30.0
2021-06-03,5099182,8933,4711982,9383,393,122660,2.41,0.0019952796315398924,0.003214276951262418,0.0017549239732672641,4834642,30.0
2021-06-04,5108129,8947,4720512,8530,377,123037,2.41,0.0018102785621847415,0.0030735366052503377,0.0017545951487905054,4843549,30.0
2021-06-05,5117274,9145,4729077,8565,399,123436,2.41,0.0018144218254290132,0.0032429269244211856,0.0017902836831253934,4852513,30.0
2021-06-06,5126437,9163,4736446,7369,351,123787,2.41,0.0015582321878031544,0.002843578858679807,0.001790601793064006,4860233,30.0
2021-06-07,5135866,9429,4743202,6756,330,124117,2.42,0.0014263859442291693,0.0026658695985846137,0.0018392891593128624,4867319,30.0
2021-06-08,5145843,9977,4752085,8883,379,124496,2.42,0.0018727855149327512,0.0030535704214571524,0.001942612988734549,4876581,30.0
2021-06-09,5156250,10407,4761899,9814,399,124895,2.42,0.002065198749601427,0.003204922246497821,0.0020224091562839326,4886794,30.0
2021-06-10,5167949,11699,4771995,10096,383,125278,2.42,0.0021201625653965994,0.003066575923776016,0.0022688969696968986,4897273,29.0
2021-06-11,5180454,12505,4782183,10188,396,125674,2.43,0.0021349561346983847,0.003160970002713981,0.0024197220212505144,4907857,29.0
2021-06-12,5193964,13510,4792169,9986,399,126073,2.43,0.0020881676840891483,0.0031748810414247157,0.0026078795410595657,4918242,29.0
2021-06-13,5208687,14723,4801335,9166,357,126430,2.43,0.0019127038299358023,0.00283169274943873,0.0028346365126905577,4927765,29.0
2021-06-14,5222408,13721,4809647,8312,371,126801,2.43,0.0017311851807881864,0.002934430119433617,0.0026342531236758226,4936448,29.0
2021-06-15,5236593,14185,4818244,8597,379,127180,2.43,0.0017874492660272523,0.0029889354184904353,0.002716179969087129,4945424,29.0
2021-06-16,5249990,13397,4828500,10256,396,127576,2.43,0.0021285763029019744,0.0031136971221890075,0.0025583428003665976,4956076,29.0
2021-06-17,5264047,14057,4839705,11205,416,127992,2.43,0.002320596458527557,0.003260801404652902,0.002677528909578841,4967697,28.0
2021-06-18,5281309,17262,4850659,10954,453,128445,2.43,0.00226336109328984,0.0035392837052314885,0.003279226040344918,4979104,28.0
2021-06-19,5299215,17906,4861343,10684,466,128911,2.43,0.002202587318547833,0.0036280119895675256,0.0033904473303871807,4990254,28.0
2021-06-20,5316826,17611,4869972,8629,450,129361,2.43,0.0017750238977172204,0.003490780460938092,0.003323322416622032,4999333,28.0
2021-06-21,5334204,17378,4878333,8361,440,129801,2.43,0.0017168476533335753,0.003401334250662913,0.003268491389411654,5008134,28.0
2021-06-22,5350919,16715,4889450,11117,546,130347,2.44,0.0022788522226753205,0.00420643908752627,0.003133550947807873,5019797,27.0
2021-06-23,5368513,17594,4902110,12660,548,130895,2.44,0.0025892482794589444,0.004204162734853911,0.00328803332661165,5033005,27.0
2021-06-24,5388695,20182,4915615,13505,568,131463,2.44,0.002754936139743869,0.004339355972344139,0.0037593277691607696,5047078,26.0
2021-06-25,5409088,20393,4929639,14024,601,132064,2.44,0.0028529492240543237,0.004571628519050908,0.0037844042017594064,5061703,26.0
