Дата,Заражений за день,Day sin,Day cos,Характерстика ДБ
2021-02-10,14494,-0.6117242991150048,0.7910710346563424,22.0
2021-02-11,15038,-0.5877852522924418,0.8090169943749701,22.0
2021-02-12,15089,-0.5633200580636537,0.8262387743159733,22.0
2021-02-13,14861,-0.5383506160906837,0.8427209586540383,22.0
2021-02-14,14185,-0.512899277405876,0.8584487936018841,23.0
2021-02-15,14207,-0.4869888244044039,0.8734082006171093,23.0
2021-02-16,13233,-0.4606424504506369,0.8875857890045517,23.0
2021-02-17,12828,-0.43388373911752975,0.9009688679024328,23.0
2021-02-18,13447,-0.40673664307584173,0.9135454576425824,23.0
2021-02-19,13433,-0.3792254626529365,0.9253043004739934,23.0
2021-02-20,12953,-0.35137482408131654,0.9362348706397471,23.0
2021-02-21,12742,-0.3232096574545064,0.9463273837991484,23.0
2021-02-22,12604,-0.294755174410916,0.9555728057861371,24.0
2021-02-23,11823,-0.2660368455666516,0.9639628606958598,24.0
2021-02-24,11749,-0.2370803777155486,0.971490038292855,24.0
2021-02-25,11198,-0.20791169081777486,0.9781476007338024,24.0
2021-02-26,11086,-0.17855689479861614,0.9839295885986333,24.0
2021-02-27,11534,-0.14904226617611754,0.9888308262251371,24.0
2021-02-28,11359,-0.11939422454026362,0.992846926341835,25.0
2021-03-01,11571,-0.08963930890341629,0.9959742939952406,25.0
2021-03-02,10565,-0.05980415394498027,0.9982101297677384,25.0
2021-03-03,10535,-0.029915466169421426,0.9995524322835027,25.0
2021-03-04,11385,1.3728423763182123e-14,1.0,25.0
2021-03-05,11024,0.02991546616944887,0.9995524322835019,25.0
2021-03-06,11022,0.05980415394500768,0.9982101297677367,25.0
2021-03-07,10595,0.08963930890344363,0.9959742939952381,25.0
2021-03-08,10253,0.11939422454029089,0.9928469263418317,26.0
2021-03-09,9445,0.1490422661761447,0.9888308262251331,26.0
2021-03-10,9079,0.17855689479864315,0.9839295885986284,26.0
2021-03-11,9270,0.20791169081780173,0.9781476007337966,26.0
2021-03-12,9794,0.2370803777154648,0.9714900382928754,26.0
2021-03-13,9908,0.26603684556667806,0.9639628606958525,26.0
2021-03-14,10083,0.29475517441094223,0.955572805786129,26.0
2021-03-15,9437,0.3232096574544248,0.9463273837991762,27.0
2021-03-16,9393,0.35137482408134224,0.9362348706397374,27.0
2021-03-17,8998,0.3792254626529619,0.9253043004739829,27.0
2021-03-18,9803,0.40673664307576296,0.9135454576426175,27.0
2021-03-19,9699,0.43388373911755446,0.9009688679024209,27.0
2021-03-20,9632,0.46064245045066127,0.887585789004539,27.0
2021-03-21,9299,0.48698882440432856,0.8734082006171513,28.0
2021-03-22,9284,0.5128992774058996,0.85844879360187,28.0
2021-03-23,8457,0.5383506160907069,0.8427209586540235,28.0
2021-03-24,8861,0.5633200580635824,0.8262387743160219,28.0
2021-03-25,9221,0.5877852522924641,0.809016994374954,28.0
2021-03-26,9167,0.6117242991150266,0.7910710346563257,28.0
2021-03-27,8885,0.635115769842139,0.7724169592246322,28.0
2021-03-28,9088,0.6579387259397015,0.7530714660036206,28.0
2021-03-29,8711,0.6801727377709355,0.7330518718298114,29.0
2021-03-30,8277,0.7017979028839522,0.7123760969513834,29.0
2021-03-31,8275,0.7227948638273789,0.6910626489868779,29.0
2021-04-01,9169,0.7431448254774066,0.6691306063588445,29.0
2021-04-02,8792,0.7628295718623022,0.6465996012157575,29.0
2021-04-03,9021,0.7818314824680161,0.6234898018587506,29.0
2021-04-04,8817,0.8001335480112153,0.5998218946879018,29.0
2021-04-05,8646,0.817719385664461,0.5756170656856313,30.0
2021-04-06,8328,0.8345732537212887,0.5508969814521237,30.0
2021-04-07,8294,0.8506800656873454,0.525683769810495,30.0
2021-04-08,8672,0.8660254037844627,0.4999999999999584,30.0
2021-04-09,9150,0.8805955318567242,0.47386866247302417,30.0
2021-04-10,8704,0.8943774076663403,0.4473131483156257,29.0
2021-04-11,8702,0.9073586945678835,0.42035722830952515,30.0
2021-04-12,8320,0.9195277725514379,0.3930250316539535,30.0
2021-04-13,8173,0.9308737486442058,0.3653410243663911,30.0
2021-04-14,8326,0.941386466660917,0.33732998738279146,30.0
2021-04-15,8944,0.9510565162951424,0.3090169943749817,30.0
2021-04-16,8995,0.9598752415428892,0.28042738930600214,30.0
2021-04-17,9321,0.9678347484506759,0.2515867637444723,30.0
2021-04-18,8632,0.9749279121818147,0.22252093395635303,30.0
2021-04-19,8589,0.9811483833941721,0.19325591779555612,30.0
2021-04-20,8164,0.986490593923527,0.16381791141510435,30.0
2021-04-21,8271,0.9909497617679289,0.13423326581769826,30.0
2021-04-22,8996,0.9945218953682726,0.1045284632676599,30.0
2021-04-23,8840,0.9972037971811825,0.07473009358639408,30.0
2021-04-24,8828,0.9989930665413126,0.04486483035056161,30.0
2021-04-25,8780,0.9998881018102732,0.014959407015273634,30.0
2021-04-26,8803,0.999888101810273,-0.014959407015290308,30.0
2021-04-27,8053,0.9989930665413169,-0.04486483035046469,30.0
2021-04-28,7848,0.9972037971811811,-0.07473009358641072,30.0
2021-04-29,9284,0.994521895368271,-0.10452846326767648,30.0
2021-04-30,8731,0.990949761767942,-0.13423326581760212,30.0
2021-05-01,9270,0.9864905939235242,-0.16381791141512078,30.0
2021-05-02,8697,0.9811483833941689,-0.19325591779557247,30.0
2021-05-03,8489,0.9749279121818111,-0.2225209339563693,31.0
2021-05-04,7770,0.9678347484506716,-0.25158676374448846,31.0
2021-05-05,7975,0.9598752415428845,-0.2804273893060181,31.0
2021-05-06,7639,0.9510565162951373,-0.3090169943749976,31.0
2021-05-07,8386,0.9413864666609113,-0.3373299873828072,31.0
2021-05-08,8329,0.9308737486441997,-0.36534102436640664,31.0
2021-05-09,8419,0.9195277725514313,-0.39302503165396885,31.0
2021-05-10,8465,0.9073586945678765,-0.42035722830954025,31.0
2021-05-11,8115,0.8943774076663328,-0.4473131483156406,32.0
2021-05-12,8217,0.8805955318567164,-0.4738686624730388,31.0
2021-05-13,8380,0.8660254037844544,-0.49999999999997286,31.0
2021-05-14,9462,0.8506800656873367,-0.5256837698105092,31.0
2021-05-15,8790,0.8345732537212794,-0.5508969814521376,31.0
2021-05-16,8554,0.8177193856644515,-0.575617065685645,31.0
2021-05-17,9328,0.8001335480112052,-0.5998218946879151,31.0
2021-05-18,8183,0.7818314824680058,-0.6234898018587637,31.0
2021-05-19,7920,0.7628295718622914,-0.6465996012157703,31.0
2021-05-20,9232,0.7431448254773955,-0.6691306063588569,31.0
